339355 - Bechs ApS;;;;;;;;;;
Salg » Opsætning »;;;;;;;;;;
Varer;;;;;;;;;;
;;;;;;;;;;
Nr.;Navn;Gruppe;Salgspris;Kostpris;På lager;I ordre;Til rådighed;Bestilt;;
frgr12;Gres St. Paul Romanis;11;0,00;28,27;54,00;0,00;54,00;0,00;;
frgr3;Gres St. Paul Rosanna;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frgr1;Gres St. Paul Sevianne 2012;11;89,00;0,00;0,00;0,00;0,00;0,00;;
frgr8;Gres St. Paul Syrah;11;48,00;0,00;0,00;0,00;0,00;0,00;;
frgr9;Gres St. Paul Vermentino;11;48,00;0,00;0,00;0,00;0,00;0,00;;
øsmu18;Grüner Veltliner Gottschelle Kremstal DAC Reserve;11;95,00;46,45;36,00;0,00;36,00;0,00;;
øsmu;Grüner Veltliner Tassilo Steinmauer;11;57,00;0,00;0,00;72,00;-72,00;600,00;;
øsmu1;Grüner Veltliner, Kremser kogl;11;62,00;28,01;234,00;0,00;234,00;60,00;;
øsmu2;Grüner Veltliner, Novemberlese 1 L;11;50,00;18,32;102,00;0,00;102,00;0,00;;
frco2;Guillaume;11;54,00;0,00;0,00;0,00;0,00;0,00;;
frco1;Guillaumette 2012;11;55,00;23,45;468,00;0,00;468,00;0,00;;
syha1;Haskells Aeon 2008;12;210,00;133,83;0,00;0,00;0,00;0,00;;
syha4;Haskells Anvil Chardonnay 2010;12;210,00;133,83;0,00;0,00;0,00;0,00;;
syha5;Haskells II 2009;12;130,00;0,00;0,00;0,00;0,00;0,00;;
syha3;Haskells IV 2007;12;325,00;0,00;0,00;0,00;0,00;0,00;;
syha2;Haskells Pillars 2008;12;325,00;0,00;0,00;0,00;0,00;0,00;;
frse11;Hautes Cotes des Beaune 2012;11;90,00;50,42;66,00;0,00;66,00;0,00;;
frfo9;Heritage St Jean VDF Carignan 2013;11;42,00;13,03;181,00;0,00;181,00;0,00;;
itsa2;"HORUS ""Carignano del Sulcis"" Rosé 2013";11;72,00;29,59;66,00;0,00;66,00;0,00;;
